unique_id,best_start_date,best_end_date,observations_in_window,total_observable_slots
TIC_190990336,2025-12-07,2026-01-06,211,245
TIC_129637892,2025-10-25,2025-11-24,47,47
TIC_134404603,2025-12-07,2026-01-06,170,254
TIC_14091704,2025-10-23,2025-11-22,216,375
TIC_170729775,2025-10-23,2025-11-22,210,383
TIC_404610583,2025-10-25,2025-11-24,98,123
TIC_29119552,2025-12-11,2026-01-10,171,422
TIC_12036590,2025-10-23,2025-11-22,237,469
TIC_232941965,2025-10-25,2025-11-24,124,129
TIC_432280671,2025-10-30,2025-11-29,260,390
TIC_186936449,2025-12-07,2026-01-06,226,253
TIC_85429139,2025-10-23,2025-11-22,228,476
TIC_13533330,2025-11-07,2025-12-07,313,579
TIC_121966220,2025-10-23,2025-11-22,213,467
TIC_138727432,2025-11-12,2025-12-12,199,310
TIC_284206913,2025-11-12,2025-12-12,281,452
TIC_287591638,2025-10-25,2025-11-24,180,209
TIC_207339000,2025-12-07,2026-01-06,213,234
TIC_181748381,2025-12-07,2026-01-06,172,186
TIC_229888286,2026-01-26,2026-02-25,8,8
TIC_197743152,2025-10-25,2025-11-24,188,233
TIC_250839071,2025-11-07,2025-12-07,297,522
TIC_117689799,2025-10-25,2025-11-24,28,28
TIC_258234731,2025-12-11,2026-01-10,126,126
TIC_229285649,2025-10-23,2025-11-22,167,371
TIC_439366538,2025-10-25,2025-11-24,10,10
TIC_387259626,2025-10-25,2025-11-24,31,31
TIC_452508760,2025-10-25,2025-11-24,35,35
TIC_408114363,2025-10-23,2025-11-22,168,332
TIC_409594381,2025-12-11,2026-01-10,78,169
TIC_233823679,2025-10-25,2025-11-24,16,16
TIC_202283090,2025-11-12,2025-12-12,191,280
TIC_327369524,2025-10-25,2025-11-24,185,269
TIC_397763985,2025-11-12,2025-12-12,160,206
TIC_238624131,2025-11-12,2025-12-12,199,293
TIC_58858008,2025-11-12,2025-12-12,205,275
TIC_467580267,2025-11-12,2025-12-12,175,273
TIC_141205978,2025-12-28,2026-01-27,49,49
TIC_44631965,2025-11-12,2025-12-12,203,278
TIC_233953967,2025-10-25,2025-11-24,7,7
TIC_461591646,2025-10-23,2025-11-22,297,461
TIC_45655786,2025-12-11,2026-01-10,96,104
TIC_160390955,2025-10-25,2025-11-24,69,69
TIC_436314778,2025-10-25,2025-11-24,13,13
TIC_409009431,2025-10-23,2025-11-22,112,159
TIC_195093356,2025-10-25,2025-11-24,19,19
TIC_286355915,2025-11-12,2025-12-12,159,200
TIC_399868187,2025-10-23,2025-11-22,116,184
TIC_437144507,2025-12-11,2026-01-10,24,24
TIC_291016451,2025-12-28,2026-01-27,50,50
TIC_408137826,2025-10-23,2025-11-22,72,92
TIC_444558604,2025-11-12,2025-12-12,68,68
TIC_58474992,2025-10-23,2025-11-22,77,91
TIC_96074951,2025-11-05,2025-12-05,66,73
TIC_336691874,2025-11-01,2025-12-01,41,42
TIC_317252733,2025-11-12,2025-12-12,62,64
TIC_220068921,2025-11-12,2025-12-12,33,33
TIC_354742440,2025-11-12,2025-12-12,27,27
TIC_102713734,2025-11-12,2025-12-12,20,20
TIC_9136777,2025-11-12,2025-12-12,25,25
